SCAN_NO_TECH	{No scan technology installed}
UI_SELECT	{Select}
UI_PAINT	{Paint}
UI_PLACE	{Place}
BUILD_MAT_RUSTED	{Rust}
BUILD_MAT_STONE	{Stone}
BUILD_MAT_WOOD	{Wood}
BUILD_MAT_CONCRETE	{Concrete}
RELOAD_IMG	{RELOAD <IMG>RELOAD<>}
TIP_BASE	{<TITLE>Habitable Base<>
Claim Home Planet}
HABITABLE_BASE	{HABITABLE BASE}
GAMEMODE_CREATIVE_DESC_PC	{Indulge your creativity and construction skills, with unlimited health and resources, and zero building costs.
Achievements will not unlock in Creative Mode.}
NOT_BIG_PICTURE_TITLE	{Not Running In Big Picture Mode}
NOT_BIG_PICTURE_MSG	{Steam is not running in Big Picture Mode.

Please restart steam in Big Picture Mode to configure your Steam Controller.}
UPDATE1_1_TITLE	{Update Notes}
UPDATE1_1_NOTES	{Your in-game location has been adjusted due to minor patch changes. Your overall progress will be unaffected.

Thank you,
Hello Games}
BUILD_MENU	{Build Menu}
QUICK_MENU	{Quick Menu}
INTERACT_TALK	{Talk}
INTERACT_RECRUIT	{Recruit %ROLE%}
BUILD_MENU_NAV	{<IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>/<IMG>BUILD_SET_UP<>/<IMG>BUILD_SET_DOWN<> Navigate}
SUB_BLUESYSTEM_NAME	{CYMATYGEN}
SUB_BLUESYSTEM_NAME_L	{Cymatygen}
SUB_BLUESYSTEM_DESC	{An element found only in Blue Star Systems, and commonly located in large terrain piles.}
SUB_BLUESYSTEM_SUBTITLE	{Neutral Element - Rare}
SUB_BLUESYSTEM_SYMBOL	{Cy}
SUB_REDSYSTEM_NAME	{RUBEUM}
SUB_REDSYSTEM_NAME_L	{Rubeum}
SUB_REDSYSTEM_DESC	{An element found only in Red Star Systems, and commonly located in large terrain piles.}
SUB_REDSYSTEM_SUBTITLE	{Neutral Element - Rare}
SUB_REDSYSTEM_SYMBOL	{Ru}
SUB_GREENSYSTEM_NAME	{VIRIDIUM}
SUB_GREENSYSTEM_NAME_L	{Viridium}
SUB_GREENSYSTEM_DESC	{An element found only in Green Star Systems, and commonly located in large terrain piles.}
SUB_GREENSYSTEM_SUBTITLE	{Neutral Element - Rare}
SUB_GREENSYSTEM_SYMBOL	{Vi}
SUB_TOXICPLANT_NAME	{TEMERIUM}
SUB_TOXICPLANT_NAME_L	{Temerium}
SUB_TOXICPLANT_DESC	{A chemical found only in the gills of fungi that grow in toxic biomes.}
SUB_TOXICPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_TOXICPLANT_SYMBOL	{Te}
SUB_SNOWPLANT_NAME	{CORYZAGEN}
SUB_SNOWPLANT_NAME_L	{Coryzagen}
SUB_SNOWPLANT_DESC	{A chemical found only in the leaves of the frost-resistant medium sized plants that grow in snow biomes.}
SUB_SNOWPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_SNOWPLANT_SYMBOL	{Co}
SUB_RADIOACTIVEPLANT_NAME	{CANDENSIUM}
SUB_RADIOACTIVEPLANT_NAME_L	{Candensium}
SUB_RADIOACTIVEPLANT_DESC	{A chemical found in the roots of trees that live in radioactive biomes.}
SUB_RADIOACTIVEPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_RADIOACTIVEPLANT_SYMBOL	{Cn}
SUB_BARRENPLANT_NAME	{SPADONIUM}
SUB_BARRENPLANT_NAME_L	{Spadonium}
SUB_BARRENPLANT_DESC	{A chemical that occurs naturally in the spines and skin of cacti that live in barren biomes.}
SUB_BARRENPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_BARRENPLANT_SYMBOL	{Sp}
SUB_SCORCHEDPLANT_NAME	{FERVIDIUM}
SUB_SCORCHEDPLANT_NAME_L	{Fervidium}
SUB_SCORCHEDPLANT_DESC	{A chemical that can be harvested from the bark of the large spire trees that live in scorched biomes.}
SUB_SCORCHEDPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_SCORCHEDPLANT_SYMBOL	{Fr}
SUB_CAVEPLANT_NAME	{ANTRIUM}
SUB_CAVEPLANT_NAME_L	{Antrium}
SUB_CAVEPLANT_DESC	{A chemical present in the luminous leaves of the glowing plants found in caves.}
SUB_CAVEPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_CAVEPLANT_SYMBOL	{An}
SUB_UNDERWATERPLANT_NAME	{RIGOGEN}
SUB_UNDERWATERPLANT_NAME_L	{Rigogen}
SUB_UNDERWATERPLANT_DESC	{A chemical found in the roots of certain underwater plants.}
SUB_UNDERWATERPLANT_SUBTITLE	{Neutral Element - Rare}
SUB_UNDERWATERPLANT_SYMBOL	{Ri}
SUB_DEADCREATURE_NAME	{MORDITE}
SUB_DEADCREATURE_NAME_L	{Mordite}
SUB_DEADCREATURE_DESC	{A compound that can be recovered from the cadavers of some species.}
SUB_DEADCREATURE_SUBTITLE	{Neutral Element - Rare}
SUB_DEADCREATURE_SYMBOL	{Mo}
SUB_CREATUREPOOP_NAME	{COPRITE}
SUB_CREATUREPOOP_NAME_L	{Coprite}
SUB_CREATUREPOOP_DESC	{A crystalline compound that can be harvested from the faecal matter of some species. Creatures can be fed to encourage the formation of coprite crystals.}
SUB_CREATUREPOOP_SUBTITLE	{Neutral Element - Rare}
SUB_CREATUREPOOP_SYMBOL	{Cr}
SUB_DEADDRONE_NAME	{PUGNEUM}
SUB_DEADDRONE_NAME_L	{Pugneum}
SUB_DEADDRONE_DESC	{This oily, unsettling liquid leaks from the circuitry of <SPECIAL>Sentinels<>.

Prized by the <FUEL>Vy'keen<>, Pugneum is thought to share some essential properties with <TECHNOLOGY>Nanites<>. It hums in a sinister fashion upon contact with organic matter.}
SUB_DEADDRONE_SUBTITLE	{Anomalous Material}
SUB_DEADDRONE_SYMBOL	{Pg}
SUB_DEADSHIP_NAME	{TROPHEUM}
SUB_DEADSHIP_NAME_L	{Tropheum}
SUB_DEADSHIP_DESC	{A rare element that is released from the incapacitated engines of defeated starships.}
SUB_DEADSHIP_SUBTITLE	{Neutral Element - Rare}
SUB_DEADSHIP_SYMBOL	{Tr}
NOTIFY_GOTO_PLANET_BASE	{<TITLE>Claim Home Planet<>
Travel to an unclaimed base on any planet.}
NOTIFY_CLAIM_PLANET_BASE	{<TITLE>Claim Home Planet<>
Declare this as your Home Planet by claiming
the base using the terminal inside the building.}
NOTIFY_BUILD_PLANET_CORR	{<TITLE>Home Planet Base<>
Build a <TRADEABLE>Straight Corridor<>.
You can access the build menu using <IMG>BUILD_MENU<>}
NOTIFY_BUILD_PLANET_ROOM	{<TITLE>Home Planet Base<>
Build a <TRADEABLE>Cylindrical Room<>.
You can access the build menu using <IMG>BUILD_MENU<>}
NOTIFY_BUILD_PLANET_BUILER_NPC	{<TITLE>Home Planet Base<>
Add a <TRADEABLE>Construction Terminal<>, which must be staffed by an Overseer.}
NOTIFY_LEAVE_BUILDSIGNAL	{<TITLE>Signal Booster<>
Build and activate the <TRADEABLE>Signal Booster<> to
locate areas of interest.
You can access the build menu using <IMG>BUILD_MENU<>}
NOTIFY_BUILD_PLANET_NPC_HIRE	{<TITLE>Home Planet Base<>
Recruit a <TRADEABLE>Builder<> from the Space Station.}
NOTIFY_GOTO_CAPTAIN	{<TITLE>Space Battle<>
Land in lead freighter and speak to the <HIGHLIGHT>Commander<>}
NOTIFY_GOTO_CAPTAIN2	{<TITLE>Space Battle<>
Make your way to the bridge and speak to the <HIGHLIGHT>Commander<>}
NOTIFY_GOTO_CAPTAIN3	{<TITLE>Space Battle<>
Speak to the <HIGHLIGHT>Commander<>}
NOTIFY_BATTLE_BADDY	{<TITLE>Space Battle<>
Raiding Freighters for cargo
Sentinel Ships arriving in <RED>%SECONDS%s<>}
NOTIFY_SPACE_BATTLE	{<TITLE>Space Battle<>
System conflict detected
Freighters being targeted by attack ships
Rescue the freighters for a reward,
or take advantage and steal cargo}
FREIGHTER_CAP_TITLE_1	{Captain}
FREIGHTER_CAP_TITLE_2	{Admiral}
FREIGHTER_CAP_TITLE_3	{Commander}
NOTIFY_FREIGHTER_TITLE	{Freighter Benefits}
NOTIFY_BOUGHT_FREIGHTER	{Freighters offer extra <STELLAR>Inventory Storage<>
<STELLAR>Additional Starships<> can be docked in the freighter's hangar
Command <STELLAR>Expeditions<> from the bridge}
NOTIFY_QUICK_MENU	{Press <IMG>QUICK_MENU<> to access the Quick Menu at any time.}
NOTIFY_BATTLE_BADDY2	{<TITLE>Space Battle<>
Raiding Freighters for cargo
Escape Sentinel Ships}
NOTIFY_BOUGHT_FREIGHTER_2	{<TITLE>Freighter Benefits<>
Ships purchased in the <SPECIAL>hanger bay<> can be stored for later use.
Up to <SPECIAL>six<> ships can be docked at once.}
BASE_BUILDING_TERM_AMBIENT	{Base initialisation complete

Construction Terminal installation required for further base operations.
Terminals and other necessary building modules can be constructed with <IMG>BUILD_MENU<>.
Terminals must be staffed before they are operational.
Specialist staff can be recruited in Space Stations.

<FUEL>WARNING:<><RED>You are currently playing in ambient mode. Claiming this base will overwrite your creative mode save.<>}
BASE_BUILDING_TERM_AMBIENT_TITL	{Home Planet Registration Mainframe}
PS4_IO_NOTICE	{Saving in progress - do not turn off your console}
PS4_IO_NOTICE_UPPER	{SAVING IN PROGRESS - DO NOT TURN OFF YOUR CONSOLE}
PS4_IO_NOTICE_PARTIAL	{SAVING IN PROGRESS}
PS4_IO_NOTICE_ALT	{WORKING - DO NOT TURN OFF YOUR CONSOLE}
GAMEMODE_SAVE_UNSUP	{SAVING DISABLED}
GAMEMODE_AMBIENT	{Ambient}
GAMEMODE_AMBIENT_SUBTITLE	{A relaxing visual experience}
GAMEMODE_AMBIENT_DESC	{Explore the sights of the universe through a calm and infinite camera flythrough.}
QUICK_MENU_PHOTO_MODE	{Photo Mode}
PHOTO_MODE_CONTROLS	{<IMG>PHOTO_HIDE<> Hide Menu  <IMG>PHOTO_SUN<> Move Sun to Cursor  <IMG>PHOTO_CAM<> Move Camera  <IMG>PHOTO_EXIT<> Exit Photo Mode}
AMBIENT_MODE_CONTROLS	{<IMG>AMBIENT_CAMERA<> Switch Camera  <IMG>AMBIENT_PLANET<> Switch Planet  <IMG>AMBIENT_SYSTEM<> Switch System  <IMG>AMBIENT_PHOTO<> Photo Mode  <IMG>AMBIENT_NXTSONG<> Next song <IMG>AMBIENT_SPAWN<> Start Creative Mode Here}
IMAGE	{IMAGE}
SCENE	{SCENE}
LENS	{LENS}
BRIGHTNESS	{BRIGHTNESS}
CONTRAST	{CONTRAST}
SATURATION	{SATURATION}
EXPOSURE	{EXPOSURE}
ASPECT_RATIO	{ASPECT RATIO}
FOG_DIST	{FOG DISTANCE}
FOG_DENSITY	{FOG DENSITY}
TIME_OF_DAY	{TIME OF DAY}
CLOUD_LEVEL	{CLOUD LEVEL}
LANDING_GEAR	{LANDING GEAR}
VIGNETTE	{VIGNETTE}
BLOOM	{BLOOM}
DEPTH_OF_FIELD	{DEPTH OF FIELD}
FOCUS_MODE	{FOCUS MODE}
FOCAL_POINT	{FOCAL POINT}
FIELD_OF_VIEW	{FIELD OF VIEW}
SSAO_HBAO	{SSAO/HBAO}
OPTION_REPORT	{Report Offensive or Inappropriate Base}
OPTIONS_REPORTCHECK	{Please take a screenshot showing the offensive or inappropriate material so that it can be moderated.}
PHOTO_EDITCAM	{<IMG>PHOTO_CAM<> APPLY SETTINGS}
INTRCT_SAVE_DISABLED	{Saving is disabled in Ambient Mode}
PHOTO_RESET	{RESTORE DEFAULTS}
PHOTO_CAMMODE_CONTROLS	{<IMG>PHOTO_SUN<> Move Sun  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMDOWN<>/<IMG>PHOTO_CAMUP<> Change Height  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMROLLLEFT<>/<IMG>PHOTO_CAMROLLRIGHT<> Tilt  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAM<> Adjust Effects

<IMG>PHOTO_CAPTURE<> Take Screenshot  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_HIDE<> Hide Menu  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_EXIT<> Exit}
PHOTO_CAMMODE_CONTROLS_VR1	{<IMG>PHOTO_HIDE<> Hide Menu  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_SUN<> Move Sun  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAMDOWN<>/<IMG>PHOTO_CAMUP<> Change Camera Height}
PHOTO_CAMMODE_CONTROLS_VR2	{<IMG>PHOTO_CAM<> Change Settings  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_CAPTURE<> Take Screenshot  <IMG>DIAMONDBULLET<>  <IMG>PHOTO_EXIT<> Exit Photo Mode}
GMAP_HOMESYSTEM	{Home System}
GMAP_HOMESYSTEM_CAPS	{HOME SYSTEM}
GMAP_HOMEBASE	{Current Claimed Base}
GMAP_HOMEBASE_CAPS	{CURRENT CLAIMED BASE}
GMAP_PLANET_BASE	{Planet Base Detected}
GMAP_PLANET_BASE_CAPS	{PLANET BASE DETECTED}
DISC_UI_SET_GMAP_WP	{Set Galactic Waypoint}
GMAP_DISC_WP	{Discovery Waypoint}
LOC_SIGNAL_CODE	{Signal Code}
LOC_SIGNAL_CODE_CAPS	{SIGNAL CODE}
BUILDING_OTHER_BASE	{%PLAYER%'s Base}
SIGNAL_OTHER_BASE	{%PLAYER%'s Base Detected}
TIP_OTHER_BASE	{<TITLE>%PLAYER%'s Base Signal Received<>
%PLAYER%'s base located.}
OPTION_HUD_ON	{HUD: Enabled}
OPTION_HUD_OFF	{HUD: Disabled}
NOTIFY_BUILD_UPLOAD_BASE	{<TITLE>Upload Planet Base<>
You can share your Base with other players.
Upload your Base using the
Home Planet Base Mainframe.}
GAMEMODE_QUIT_SELECT	{Quit to Mode Select}
CAT_BUILDABLE	{BUILDABLE}
BASE_BUILDING_TERM_OWNED	{Base: Operational
Current Home Planet: Located

Terminals and other necessary building modules can be constructed with <IMG>BUILD_MENU<>.
Terminals must be staffed before they are operational.
Specialist staff can be recruited in Space Stations.}
BASE_BUILDING_TERM_OTHER	{Logged in as GUEST. 

Base: Operational
Base Controls: Limited
Construction Permissions: Unavailable}
BASE_BUILDING_TERM_FRIEND	{Base Registered to Known Contact.
Logged in as <STELLAR>GUEST<>.

Base: Operational
Base Controls: Limited
Construction Permissions: Unlocked}
BASE_BUILDING_TERM_OWNED_TITLE	{Home Planet Base Mainframe}
BASE_BUILDING_TERM_OTHER_TITLE	{Guest Planet Mainframe}
BASE_BUILDING_TERM_FRIEND_TITLE	{Guest Planet Mainframe}
OPTION_HDR	{HDR}
OPTION_SSAO	{SSAO}
OPTION_HBAO	{HBAO}
OPTION_GTAO	{GTAO}
BASE_BUILDING_AMBIENT_TEXT	{Claim and Begin Creative Mode}
BASE_BUILDING_UPLOAD_TEXT	{Upload Base}
BASE_BUILDING_DELETE_TEXT	{Delete Base}
BASE_BUILDING_REPORT_TEXT	{Report this Base as Offensive or Inappropriate}
BASE_BUILDING_REWARD_TEXT	{Register Your Visit}
BASE_BUILDING_MESSAGE_TEXT	{Set Welcome Message}
UI_SKIP_MSG_DISMISS	{<IMG>MSGSKIP<> DISMISS}
UI_SKIP_MSG_SKIP	{<IMG>MSGSKIP<> SKIP}
UI_SKIP_MSG_DISMISS_HOLD	{HOLD <IMG>MSGSKIP<> TO DISMISS}
UI_SKIP_MSG_SKIP_HOLD	{HOLD <IMG>MSGSKIP<> TO SKIP}
TAKE_SCREENSHOT	{Take Screenshot}
TAKE_PHOTO	{Take Photo}
NOTIFY_BUILD_UPLOAD_BASE_REMIND	{<TITLE>Upload Planet Base<>
After making changes to your Base Upload
them using the Home Planet Base Mainframe.}
TIP_OTHER_BASE_TERMINAL	{<TITLE>%PLAYER%'s Base Signal Received<>
Locate %PLAYER%'s base and Interact with the 
Base Mainframe.}
NEXT_TRACK	{Next Track}
PREVIOUS_TRACK	{Previous Track}
SWITCH_AUDIO	{Switch Audio}
TIP_VISIT_BUILDER_NPC	{<TITLE>New Blueprints Available<>
Your Overseer has something for you.
Pay them a visit them at your Base.}
PHOTOMODE_CREATURES	{CREATURES}
PHOTOMODE_SENTINELS	{SENTINELS}
PHOTOMODE_SHIPS	{STARSHIPS}
OPTION_VOL_LIGHT	{VOLUMETRIC LIGHTING}
AMBIENT_MODE_CONTROLS_NOCREATIV	{<IMG>AMBIENT_CAMERA<> Switch Camera  <IMG>AMBIENT_PLANET<> Switch Planet  <IMG>AMBIENT_SYSTEM<> Switch System  <IMG>AMBIENT_PHOTO<> Photo Mode <IMG>AMBIENT_NXTSONG<> Next song}
UPDATE2_NOTES	{The Path Finder Update 1.20

The Path Finder Update brings vehicles and more to No Man's Sky. It shows the path ahead for the future.

* Planetary Vehicles - build up to 3 exocraft at bases. Summon anytime to quickly explore planets
* Base Sharing - share your constructions online, and visit other explorers' bases
* Improved Visuals - high-res textures, improved visuals and 4K rendering on supported hardware
* Ship/Weapon Classes - fighting, exploring and trading specific classes are available for purchase
* Permadeath Mode - the ultimate challenge to reach the center without dying
* Exocraft Races - construct, race and share tracks to test vehicles to their limits
* New Upgrades - collect Nanite Clusters and purchase new upgrades for weapons and tech
* Survival Mode Rewards - new trophies and milestones for greater challenge
* Vehicle Upgrades - boost acceleration, traction, scan for points of interest or weaponise your craft
* Base Improvements - new parts including stairs and biodome
* Photo Mode - free move camera, photo filters, edit time of day and weather
* Shop for building parts - traders visit your base and sell advanced constructs
* Discovery Page - view information on previously discovered planets, find your home planet at any time
* Low Flight Enhancements - pilot ships at lower altitude, improved ship landing
* Difficulty - all modes have re-balanced difficulty, in survival mode destroyed ships crash land on nearby planets
* Gameplay Improvements - skippable journey milestones, rename your belongings (ship/exosuit/etc.), quit to mode select (and more!)

Hello Games has been hard at work to improve and expand No Man's Sky. We hope you enjoy :)
Thank you so much,
Hello Games}
BASE_BUILDING_WELCOME_TITLE	{Set Welcome Message}
BASE_BUILDING_WELCOME_TEXT	{Enter a personal welcome message. 

<RED>Warning: This will be seen by other players when you upload your base.<>}
REPORT_BASE_CONTROLS	{<IMG>SELECT<> Take Screenshot <IMG>EXITMENU<> Cancel}
RENAME_WEAPON	{Rename your Multi-Tool}
RENAME_SHIP	{Rename your Ship}
RENAME_FREIGHTER	{Rename your Freighter}
PRIMARY_VEHICLE_SWITCH	{Primary Exocraft Switched}
VEHICLE_TITLE	{EXOCRAFT}
VEHICLE_TITLE_L	{Exocraft}
VEHICLE_STORE	{Exocraft Storage}
VEHICLE_MARKER	{Your Exocraft}
VEHICLE_WORD	{EXOCRAFT}
INTRCT_VEHICLE	{Exocraft}
DISC_UI_TIMELINE	{DISCOVERY TIMELINE}
DISC_UI_ALL_SYSTEMS	{VISITED SYSTEMS}
DISC_UI_HISTORY	{DISCOVERY HISTORY}
DISC_UI_TIMELINE_PLAIN	{TIMELINE}
DISC_UI_HISTORY_PLAIN	{HISTORY}
VEHICLE_SUBTITLE	{Exocraft}
RENAME_BASE	{Rename Base}
RENAME_BASE_KEYBOARD	{Rename your base}
DISC_CANT_SET_WAYPOINT	{CANNOT SET WAYPOINT}
DISC_CANT_SET_WAYPOINT_DESC	{Location not in current galaxy}
GLXY_SELECT_WITH_BASE	{<IMG>SELECT<> SELECT <GAP><IMG>GALAXYHOME<> CURRENT <GAP><IMG>GALAXYBASE<> HOME BASE <GAP><IMG>DESELECT<> EXIT MAP}
QUICK_MENU_TIP_VEHICLE_SCAN_SEL	{Scan for %ITEM_NAME%}
QUICK_MENU_TIP_VEHICLE_SCAN	{Exocraft Signal Booster}
QUICK_MENU_TIP_SUM_VEHICLE	{Summon Exocraft}
UI_SUMMON_WHEELEDBIKE	{Summon Pilgrim Exocraft}
UI_SUMMON_HOVERSHIP	{Summon Dragonfly Exocraft}
UI_SUMMON_BIKE	{Summon Nomad Exocraft}
UI_SUMMON_BUGGY	{Summon Roamer Exocraft}
UI_SUMMON_TRUCK	{Summon Colossus Exocraft}
UI_SUMMON_SUBMARINE	{Summon Nautilon Submarine}
VEHICLE_BUILDING_DEPOT	{Depots}
VEHICLE_BUILDING_ABANDONED	{Abandoned Structure}
VEHICLE_BUILDING_NPC	{Alien Structures}
VEHICLE_BUILDING_RELIC	{Ancient Relics}
VEHICLE_BUILDING_RESOURCE	{Resources}
VEHICLE_BUILDING_DISTRESS	{Distress Signals}
VEHICLE_NO_BOOST_TECH	{No %TECH_NAME% Installed}
BASE_UPLOAD_BUTTON	{Upload Base to Steam Workshop}
BASE_SCREENSHOT_BUTTON	{Capture New Base Screenshot}
BASE_NAME_TITLE	{Base Name}
BASE_DESCRIPTION_TITLE	{Description}
EMPTY_UGC_SLOT	{Empty}
WARNING_HELP_UNSUBSCRIBE	{Hold <IMG>GMRESTART<> to unsubscribe}
WARNING_HELP_CANCEL	{Or press <IMG>GMCAN<> to cancel}
ARE_YOU_SURE_UNSUBSCRIBE	{Are you sure you want to unsubscribe from this base?}
NPC_TRADE_TECH_FRAGMENTS	{Trade Nanite Clusters for Blueprints}
NPC_TRADE_TECH_DECLINE	{Decline}
INTRCT_MSGMOD_KEYB_HEADER	{Enter message text}
INTRCT_MSGMOD_INSTRUCTION	{The Message Module waits for you to enter your message to visitors.}
INTRCT_MSGMOD_INSTRUCTION_MSG	{The Message Module holds a message that you left earlier. It reads:

%MESSAGE%}
INTRCT_MSGMOD	{Message Module}
INTRCT_MSGMOD_ACCEPT	{Your message has been entered}
INTRCT_MSGMOD_CANCEL	{You don't leave a new message at this time}
INTRCT_MSGMOD_READ	{You find a message from the owner}
INTRCT_MSGMOD_READ_MSG	{You find a message from the owner. It reads:

%MESSAGE%}
INTRCT_MSGMOD_READ_BLANK	{The owner hasn't left a message here yet}
TECH_ALREADY_INSTALLED	{Technology already installed}
TECH_AWARDED	{Technology blueprint acquired}
TECH_ALREADY_KNOWN	{Technology blueprint already known}
CTRL_BTN_QUIT_MENU	{Options / Quit}
PLAYER_TECH_TITLE	{Nanites}
TECH_REQUIRED_STANDING	{Required Rank: %STANDING%}
TECH_FRAGMENT_COST	{Buy for %PRICE% %FRAGMENTS%}
TECH_FRAGMENT_SINGULAR	{Nanite Cluster}
TECH_FRAGMENT_PLURAL	{Nanite Clusters}
INVENTORY_CLASS_C	{C CLASS}
INVENTORY_CLASS_B	{B CLASS}
INVENTORY_CLASS_A	{A CLASS}
INVENTORY_CLASS_S	{S CLASS}
INVENTORY_CLASS	{CLASS}
TECH_INSUFFICIENT_FRAGS	{Insufficient Nanite Clusters}
INVENTORY_CLASSONLY_C	{C}
INVENTORY_CLASSONLY_B	{B}
INVENTORY_CLASSONLY_A	{A}
INVENTORY_CLASSONLY_S	{S}
STAT_SHIP_DMG	{Damage}
STAT_SHIP_SHLD	{Shield}
STAT_SHIP_HYPER	{Hyperdrive}
TECH_INSUFFICIENT_STANDING	{Insufficient Rank}
WEAPON_LASER_DAMAGE	{Damage}
WEAPON_LASER_MINING_DAMAGE	{Mining Power}
WEAPON_LASER_MINING_SPEED	{Mining Speed}
WEAPON_LASER_HEATTIME	{Heat Dispersion}
WEAPON_LASER_BOUNCE	{Reflection}
WEAPON_LASER_RELOADTIME	{Overheat Downtime}
WEAPON_LASER_RECOIL	{Recoil}
WEAPON_LASER_DRAIN	{Fuel Efficiency}
WEAPON_LASER_STRONGLASER	{Advanced Mining Laser}
WEAPON_PROJECTILE_DAMAGE	{Damage}
WEAPON_PROJECTILE_MINING_DAMAGE	{Mining Power}
WEAPON_PROJECTILE_RANGE	{Range}
WEAPON_PROJECTILE_RATE	{Fire Rate}
WEAPON_PROJECTILE_CLIPSIZE	{Clip Size}
WEAPON_PROJECTILE_RELOADTIME	{Reload Time}
WEAPON_PROJECTILE_RECOIL	{Recoil}
WEAPON_PROJECTILE_DISPERSION	{Accuracy}
WEAPON_PROJECTILE_BOUNCE	{Ricochet Module}
WEAPON_GRENADE_DAMAGE	{Damage}
WEAPON_GRENADE_RADIUS	{Explosion Radius}
WEAPON_GRENADE_SPEED	{Projectile Velocity}
WEAPON_GRENADE_BOUNCE	{Bounce Potential}
WEAPON_GRENADE_MINING_DAMAGE	{Mining Power}
WEAPON_SCAN_RADIUS	{Scan Radius}
WEAPON_SCAN_RECHARGE_TIME	{Recharge Time}
WEAPON_SCAN_DISCOVERY_CREATURE	{Fauna Analysis Rewards}
WEAPON_SCAN_DISCOVERY_FLORA	{Flora Analysis Rewards}
SUIT_ARMOUR_SHIELD_STRENGTH	{Shield Strength}
SUIT_ARMOUR_HEALTH	{Core Health}
SUIT_PROTECTION_COLD	{Cold Protection}
SUIT_PROTECTION_HEAT	{Heat Protection}
SUIT_PROTECTION_TOXIC	{Toxic Protection}
SUIT_PROTECTION_RADIATION	{Radiation Protection}
SUIT_DAMAGEREDUCE_COLD	{Cold Damage Shielding}
SUIT_DAMAGEREDUCE_HEAT	{Heat Damage Shielding}
SUIT_DAMAGEREDUCE_TOXIC	{Toxic Damage Shielding}
SUIT_DAMAGEREDUCE_RADIATION	{Radiation Damage Shielding}
SUIT_PROTECTION_HEATDRAIN	{Heat Resistance}
SUIT_PROTECTION_COLDDRAIN	{Cold Resistance}
SUIT_PROTECTION_TOXDRAIN	{Toxic Resistance}
SUIT_PROTECTION_RADDRAIN	{Radiation Resistance}
SUIT_PROTECTION_WATERDRAIN	{Breathing Efficiency}
SUIT_STAMINA_STRENGTH	{Sprint Distance}
SUIT_STAMINA_SPEED	{Sprint Speed}
SUIT_ENERGY	{Life Support Tanks}
SUIT_PROTECTION	{Hazard Protection Battery}
SUIT_ENERGY_REGEN	{Solar Panel Power}
SUIT_JETPACK_TANK	{Jetpack Tanks}
SUIT_JETPACK_DRAIN	{Fuel Efficiency}
SUIT_JETPACK_IGNITION	{Initial Boost Power}
SUIT_JETPACK_DOUBLEJUMP	{Advanced Jump System}
SUIT_UNDERWATERLIFESUPPORT	{Oxygen Rerouting}
SUIT_JETPACK_WATEREFFICIENCY	{Efficient Waterjets}
SHIP_WEAPONS_GUNS_DAMAGE	{Damage}
SHIP_WEAPONS_GUNS_RATE	{Fire Rate}
SHIP_WEAPONS_GUNS_HEATTIME	{Heat Dispersion}
SHIP_WEAPONS_GUNS_BULLETSPERSHO	{Total Cannon Count:}
SHIP_WEAPONS_GUNS_COOLTIME	{Heat Recovery}
SHIP_WEAPONS_GUNS_DISPERSION	{Accuracy}
SHIP_WEAPONS_GUNS_RANGE	{Range}
SHIP_WEAPONS_LASERS_DAMAGE	{Damage}
SHIP_WEAPONS_LASERS_HEATTIME	{Heat Dispersion}
SHIP_ARMOUR_SHIELD_STRENGTH	{Shield Strength}
SHIP_HYPERDRIVE_JUMPDISTANCE	{Hyperdrive Range}
SHIP_HYPERDRIVE_JUMPSPERCELL	{Warp Cell Efficiency}
FREIGHTER_HYPERDRIVE_JUMPSPERCE	{Warp Cell Efficiency}
SHIP_PULSEDRIVE_MINIJUMPFUELSPE	{Pulse Drive Fuel Efficiency}
SHIP_PULSEDRIVE_MINIJUMPSPEED	{Pulse Drive Power}
SHIP_LAUNCHER_TAKEOFFCOST	{Launch Cost}
SHIP_MANEUVERABILITY	{Maneuverability}
BASESTATS_TYPE_SHIP	{STARSHIP}
BASESTATS_FIGHTER	{FIGHTER}
BASESTATS_SHUTTLE	{SHUTTLE}
BASESTATS_SCIENCE	{EXPLORER}
BASESTATS_DROPSHIP	{HAULER}
BASESTATS_TYPE_WEAPON	{MULTITOOL}
BASESTATS_PISTOL	{PISTOL}
BASESTATS_PISTOL_L	{Pistol}
BASESTATS_RIFLE	{RIFLE}
BASESTATS_RIFLE_L	{Rifle}
BASESTATS_ALIEN	{ALIEN}
BASESTATS_ALIEN_L	{Alien}
REPAIR_SLOT	{REPAIR}
REPAIR_SLOT_DESC	{This slot is damaged.}
